sid,r_typ,start,start_ts,end,end_ts,tot_att,succ_att,elem_disc,final_inv,disc_rate,max_succ,max_fail,plateaus,last_disc_t,reasoning_type
123556,abductive,2025-08-10T09:02:14.090300,1754809334.090301,,,131,49,53,0,0.37404580152671757,11,10,4,1754809720.10763,heuristic
123656,abductive,2025-08-10T09:14:16.427229,1754810056.42723,,,138,50,54,0,0.36231884057971014,8,11,8,1754810477.6448011,heuristic
123676,abductive,2025-08-10T10:08:10.698755,1754813290.698756,,,137,55,60,0,0.40145985401459855,10,14,5,1754813700.351918,heuristic
123687,abductive,2025-08-10T10:19:15.610124,1754813955.610125,,,150,32,36,0,0.21333333333333335,8,40,6,1754814426.8655639,heuristic
123000,abductive,2025-08-10T10:35:49.322155,1754814949.322156,,,138,64,69,0,0.463768115942029,12,11,5,1754815341.4346812,heuristic
789012,systematic,2025-08-09T22:14:38.135750,1754770478.135751,2025-08-09T22:22:42.554530,1754770962.554556,147,55,60,60,0.3741496598639456,7,13,7,1754770902.1530821,baseline
456789,systematic,2025-08-09T22:32:00.416941,1754771520.4169421,2025-08-09T22:40:06.699353,1754772006.6993768,148,64,69,69,0.43243243243243246,13,12,4,1754771989.217083,baseline
847293,systematic,2025-08-10T12:09:20.861493,1754820560.861495,,,144,52,56,0,0.3611111111111111,10,26,6,1754820979.435612,baseline
629481,systematic,2025-08-10T12:28:19.289343,1754821699.289344,2025-08-10T12:37:12.411261,1754822232.411278,143,64,69,69,0.44755244755244755,11,9,6,1754822168.299194,baseline
123458,systematic,2025-08-09T23:17:36.180598,1754774256.180599,2025-08-09T23:26:03.083771,1754774763.0838022,149,31,35,35,0.2080536912751678,8,40,7,1754774702.216158,baseline
123468,counterfactual,2025-08-10T08:52:55.672423,1754808775.6724238,2025-08-10T09:04:47.813556,1754809487.813611,150,43,47,47,0.2866666666666667,8,39,6,1754809315.646353,conterfactual
123467,counterfactual,2025-08-10T08:38:32.563496,1754807912.563497,2025-08-10T08:50:07.780742,1754808607.7807832,150,56,62,62,0.37333333333333335,10,14,8,1754808573.9216409,conterfactual
789312,counterfactual,2025-08-10T08:20:34.787359,1754806834.78736,2025-08-10T08:33:39.120691,1754807619.1207092,150,19,23,23,0.12666666666666668,5,35,7,1754807439.975766,conterfactual
123466,counterfactual,2025-08-10T07:58:26.792186,1754805506.792187,2025-08-10T08:05:58.734440,1754805958.734453,89,31,35,35,0.34831460674157305,5,9,6,1754805938.342924,conterfactual
123686,counterfactual,2025-08-10T10:12:37.806136,1754813557.806137,2025-08-10T10:25:04.041545,1754814304.041575,150,46,50,50,0.30666666666666664,7,24,7,1754814297.4391968,conterfactual
123556,abductive,2025-08-10T09:02:14.090300,1754809334.090301,,,131,49,53,0,0.37404580152671757,11,10,4,1754809720.10763,abductive
123656,abductive,2025-08-10T09:14:16.427229,1754810056.42723,,,138,50,54,0,0.36231884057971014,8,11,8,1754810477.6448011,abductive
123676,abductive,2025-08-10T10:08:10.698755,1754813290.698756,,,137,55,60,0,0.40145985401459855,10,14,5,1754813700.351918,abductive
123687,abductive,2025-08-10T10:19:15.610124,1754813955.610125,,,150,32,36,0,0.21333333333333335,8,40,6,1754814426.8655639,abductive
123000,abductive,2025-08-10T10:35:49.322155,1754814949.322156,,,138,64,69,0,0.463768115942029,12,11,5,1754815341.4346812,abductive
123556,abductive,2025-08-10T09:02:14.090300,1754809334.090301,,,131,49,53,0,0.37404580152671757,11,10,4,1754809720.10763,first principles
123656,abductive,2025-08-10T09:14:16.427229,1754810056.42723,,,138,50,54,0,0.36231884057971014,8,11,8,1754810477.6448011,first principles
123676,abductive,2025-08-10T10:08:10.698755,1754813290.698756,,,137,55,60,0,0.40145985401459855,10,14,5,1754813700.351918,first principles
123687,abductive,2025-08-10T10:19:15.610124,1754813955.610125,,,150,32,36,0,0.21333333333333335,8,40,6,1754814426.8655639,first principles
123000,abductive,2025-08-10T10:35:49.322155,1754814949.322156,,,138,64,69,0,0.463768115942029,12,11,5,1754815341.4346812,first principles
