reasoning_type,game_phase,success_rate,novel_rate,avg_inventory,total_attempts,avg_plateau_length,plateau_frequency
Counterfactual,Early (1-50),0.38,0.988,15.604,250,10.0,0.36
Counterfactual,Mid (51-100),0.204,0.992,28.116,250,13.666666666666666,0.48
Counterfactual,Late (101-150),0.22270742358078602,0.9694323144104804,39.79475982532751,229,13.818181818181818,0.48034934497816595
Systematic,Early (1-50),0.568,0.984,20.432,250,7.2,0.2
Systematic,Mid (51-100),0.312,0.956,39.252,250,9.75,0.48
Systematic,Late (101-150),0.26,0.968,54.076,250,8.666666666666666,0.6
Abductive,Early (1-50),0.556,0.996,20.156,250,7.333333333333333,0.24
Abductive,Mid (51-100),0.28,0.952,37.904,250,8.928571428571429,0.56
Abductive,Late (101-150),0.25365853658536586,0.9317073170731708,49.34146341463415,205,12.142857142857142,0.34146341463414637
Heuristic,Early (1-50),0.588,0.976,21.04,250,6.333333333333333,0.24
Heuristic,Mid (51-100),0.316,0.936,40.88,250,8.8,0.6
Heuristic,Late (101-150),0.23214285714285715,0.9508928571428571,51.950892857142854,224,7.666666666666667,0.6696428571428572
first-principles,Early (1-50),0.54,1.0,19.572,250,6.0,0.24
first-principles,Mid (51-100),0.356,0.98,41.112,250,8.083333333333334,0.48
first-principles,Late (101-150),0.188,0.952,54.604,250,9.875,0.64
