sid,reasoning_type,total_attempts,successful_attempts,discovery_rate,elements_discovered,final_inventory,unique_combinations,exploration_efficiency,plateau_count,avg_plateau_length,recovery_rate,max_success_streak,max_failure_streak
first-principles-session-1,first-principles,150,55,0.36666666666666664,58,0,150,1.0,8,8.125,0.5641025641025641,9,14
first_principles_2024,first-principles,150,49,0.32666666666666666,53,53,149,0.9933333333333333,7,9.0,0.4,7,18
first_principles_session_001,first-principles,150,50,0.3333333333333333,54,54,150,1.0,6,10.5,0.4,8,27
first-principles-alchemy-001,first-principles,150,55,0.36666666666666664,60,0,146,0.9733333333333334,6,6.833333333333333,0.4,8,10
123999,first-principles,150,62,0.41333333333333333,67,0,150,1.0,6,7.833333333333333,0.5333333333333333,8,10
789012,systematic,150,58,0.38666666666666666,60,60,149,0.9933333333333333,7,7.428571428571429,0.4666666666666667,7,13
456789,systematic,150,66,0.44,69,69,150,1.0,4,8.0,0.45,13,12
847392,systematic,150,58,0.38666666666666666,62,62,150,1.0,8,7.75,0.5142857142857142,10,14
629481,systematic,150,71,0.47333333333333333,69,69,146,0.9733333333333334,6,7.0,0.64,11,9
123458,systematic,150,32,0.21333333333333335,35,35,150,1.0,7,13.857142857142858,0.26666666666666666,8,40
123468,counterfactual,150,43,0.2866666666666667,47,47,150,1.0,6,12.666666666666666,0.52,8,39
123467,counterfactual,150,56,0.37333333333333335,62,62,150,1.0,8,7.875,0.4857142857142857,10,14
789312,counterfactual,150,19,0.12666666666666668,23,23,150,1.0,7,17.571428571428573,0.3333333333333333,5,35
847293,counterfactual,129,33,0.2558139534883721,36,0,128,0.9922480620155039,5,14.2,0.3333333333333333,3,26
123686,counterfactual,150,46,0.30666666666666664,50,50,150,1.0,7,10.428571428571429,0.4838709677419355,7,24
123450,heuristic,146,56,0.3835616438356164,58,0,146,1.0,9,8.0,0.5333333333333333,12,19
562841,heuristic,150,53,0.35333333333333333,57,0,150,1.0,7,8.571428571428571,0.42857142857142855,9,15
909090,heuristic,146,56,0.3835616438356164,54,0,145,0.9931506849315068,9,7.222222222222222,0.37777777777777777,10,17
567821,heuristic,132,56,0.42424242424242425,55,0,132,1.0,3,10.0,0.5,12,15
847329,heuristic,150,57,0.38,59,59,150,1.0,8,7.625,0.45,9,15
123556,abductive,137,55,0.40145985401459855,53,0,135,0.9854014598540146,4,7.0,0.4666666666666667,11,10
123656,abductive,138,50,0.36231884057971014,54,0,138,1.0,8,8.0,0.4,8,11
123676,abductive,139,57,0.41007194244604317,60,0,139,1.0,5,8.0,0.52,10,14
123687,abductive,150,32,0.21333333333333335,36,0,150,1.0,6,15.0,0.4,8,40
123000,abductive,141,67,0.475177304964539,69,0,141,1.0,5,7.4,0.65,12,11
