Metric,Group1,Group2,Cohens_d,Effect_Size,Group1_Mean,Group2_Mean,Group1_N,Group2_N
Discovery Rate,first-principles,systematic,-0.141175699358848,Negligible,0.35969574944071586,0.369770979558132,5,5
Discovery Rate,first-principles,counterfactual,1.3287225493094035,Large,0.35969574944071586,0.26866666666666666,5,5
Discovery Rate,first-principles,heuristic,-0.4160671357153772,Small,0.35969574944071586,0.3708795864802613,5,5
Discovery Rate,first-principles,abductive,-0.04743701273772742,Negligible,0.35969574944071586,0.36298518907927774,5,5
Discovery Rate,systematic,counterfactual,1.0834144197281663,Large,0.369770979558132,0.26866666666666666,5,5
Discovery Rate,systematic,heuristic,-0.01610619369534092,Negligible,0.369770979558132,0.3708795864802613,5,5
Discovery Rate,systematic,abductive,0.07223961404765106,Negligible,0.369770979558132,0.36298518907927774,5,5
Discovery Rate,counterfactual,heuristic,-1.5518952706381053,Large,0.26866666666666666,0.3708795864802613,5,5
Discovery Rate,counterfactual,abductive,-1.0276361635702753,Large,0.26866666666666666,0.36298518907927774,5,5
Discovery Rate,heuristic,abductive,0.11830185147779575,Negligible,0.3708795864802613,0.36298518907927774,5,5
Elements Discovered,first-principles,systematic,-0.056219811916933975,Negligible,58.4,59.0,5,5
Elements Discovered,first-principles,counterfactual,1.3248125169729503,Large,58.4,43.6,5,5
Elements Discovered,first-principles,heuristic,0.4266409168259789,Small,58.4,56.6,5,5
Elements Discovered,first-principles,abductive,0.4244763599780088,Small,58.4,54.4,5,5
Elements Discovered,systematic,counterfactual,1.069341310788344,Large,59.0,43.6,5,5
Elements Discovered,systematic,heuristic,0.2395214352167396,Small,59.0,56.6,5,5
Elements Discovered,systematic,abductive,0.35136008450709205,Small,59.0,54.4,5,5
Elements Discovered,counterfactual,heuristic,-1.2322413271068329,Large,43.6,56.6,5,5
Elements Discovered,counterfactual,abductive,-0.7998902832059571,Medium,43.6,54.4,5,5
Elements Discovered,heuristic,abductive,0.2535275693482956,Small,56.6,54.4,5,5
Final Inventory,first-principles,systematic,-1.636872579976156,Large,21.4,59.0,5,5
Final Inventory,first-principles,counterfactual,-0.5527008622760431,Medium,21.4,36.4,5,5
Final Inventory,first-principles,heuristic,0.3442873248579996,Small,21.4,11.8,5,5
Final Inventory,first-principles,abductive,1.0327203935584606,Large,21.4,0.0,5,5
Final Inventory,systematic,counterfactual,1.122448869757343,Large,59.0,36.4,5,5
Final Inventory,systematic,heuristic,2.234108336283237,Large,59.0,11.8,5,5
Final Inventory,systematic,abductive,5.952312613202756,Large,59.0,0.0,5,5
Final Inventory,counterfactual,heuristic,0.9610181552378084,Large,36.4,11.8,5,5
Final Inventory,counterfactual,abductive,2.0769503934075777,Large,36.4,0.0,5,5
Final Inventory,heuristic,abductive,0.6324555320336759,Medium,11.8,0.0,5,5
Success Attempts,first-principles,systematic,-0.05869391856534236,Negligible,53.8,54.4,5,5
Success Attempts,first-principles,counterfactual,1.3814216853929024,Large,53.8,39.2,5,5
Success Attempts,first-principles,heuristic,0.38829013735766,Small,53.8,52.4,5,5
Success Attempts,first-principles,abductive,0.425919047679109,Small,53.8,50.0,5,5
Success Attempts,systematic,counterfactual,1.0927054351281755,Large,54.4,39.2,5,5
Success Attempts,systematic,heuristic,0.20541200750444022,Small,54.4,52.4,5,5
Success Attempts,systematic,abductive,0.34633861134023225,Small,54.4,50.0,5,5
Success Attempts,counterfactual,heuristic,-1.3069947567292095,Large,39.2,52.4,5,5
Success Attempts,counterfactual,abductive,-0.8317541383240703,Large,39.2,50.0,5,5
Success Attempts,heuristic,abductive,0.2870599823667429,Small,52.4,50.0,5,5
Plateau Count,first-principles,systematic,0.16064386578049922,Negligible,6.6,6.4,5,5
Plateau Count,first-principles,counterfactual,0.0,Negligible,6.6,6.6,5,5
Plateau Count,first-principles,heuristic,-0.32071349029490953,Small,6.6,7.2,5,5
Plateau Count,first-principles,abductive,0.8032193289024989,Large,6.6,5.6,5,5
Plateau Count,systematic,counterfactual,-0.14907119849998546,Negligible,6.4,6.6,5,5
Plateau Count,systematic,heuristic,-0.38805700005813265,Small,6.4,7.2,5,5
Plateau Count,systematic,abductive,0.5275043787166301,Medium,6.4,5.6,5,5
Plateau Count,counterfactual,heuristic,-0.30983866769659363,Small,6.6,7.2,5,5
Plateau Count,counterfactual,abductive,0.7453559924999299,Medium,6.6,5.6,5,5
Plateau Count,heuristic,abductive,0.7761140001162657,Medium,7.2,5.6,5,5
