session_id,reasoning_type,phase,success_rate,total_attempts,successful_attempts,discovery_rate
123468,counterfactual,Early,0.38,50,19,38.0
123468,counterfactual,Middle,0.4,50,20,40.0
123468,counterfactual,Late,0.08,50,4,8.0
123467,counterfactual,Early,0.42,50,21,42.0
123467,counterfactual,Middle,0.24,50,12,24.0
123467,counterfactual,Late,0.46,50,23,46.0
789312,counterfactual,Early,0.24,50,12,24.0
789312,counterfactual,Middle,0.1,50,5,10.0
789312,counterfactual,Late,0.04,50,2,4.0
847293,counterfactual,Early,0.5,50,25,50.0
847293,counterfactual,Middle,0.08,50,4,8.0
847293,counterfactual,Late,0.13793103448275862,29,4,13.793103448275861
123686,counterfactual,Early,0.36,50,18,36.0
123686,counterfactual,Middle,0.2,50,10,20.0
123686,counterfactual,Late,0.36,50,18,36.0
789012,systematic,Early,0.6,50,30,60.0
789012,systematic,Middle,0.3,50,15,30.0
789012,systematic,Late,0.26,50,13,26.0
456789,systematic,Early,0.62,50,31,62.0
456789,systematic,Middle,0.3,50,15,30.0
456789,systematic,Late,0.4,50,20,40.0
847392,systematic,Early,0.62,50,31,62.0
847392,systematic,Middle,0.38,50,19,38.0
847392,systematic,Late,0.16,50,8,16.0
629481,systematic,Early,0.6,50,30,60.0
629481,systematic,Middle,0.48,50,24,48.0
629481,systematic,Late,0.34,50,17,34.0
123458,systematic,Early,0.4,50,20,40.0
123458,systematic,Middle,0.1,50,5,10.0
123458,systematic,Late,0.14,50,7,14.000000000000002
123556,abductive,Early,0.62,50,31,62.0
123556,abductive,Middle,0.32,50,16,32.0
123556,abductive,Late,0.21621621621621623,37,8,21.62162162162162
123656,abductive,Early,0.46,50,23,46.0
123656,abductive,Middle,0.24,50,12,24.0
123656,abductive,Late,0.39473684210526316,38,15,39.473684210526315
123676,abductive,Early,0.66,50,33,66.0
123676,abductive,Middle,0.28,50,14,28.000000000000004
123676,abductive,Late,0.2564102564102564,39,10,25.64102564102564
123687,abductive,Early,0.42,50,21,42.0
123687,abductive,Middle,0.2,50,10,20.0
123687,abductive,Late,0.02,50,1,2.0
123000,abductive,Early,0.62,50,31,62.0
123000,abductive,Middle,0.36,50,18,36.0
123000,abductive,Late,0.43902439024390244,41,18,43.90243902439025
123450,heuristic,Early,0.52,50,26,52.0
123450,heuristic,Middle,0.26,50,13,26.0
123450,heuristic,Late,0.3695652173913043,46,17,36.95652173913043
562841,heuristic,Early,0.46,50,23,46.0
562841,heuristic,Middle,0.38,50,19,38.0
562841,heuristic,Late,0.22,50,11,22.0
909090,heuristic,Early,0.62,50,31,62.0
909090,heuristic,Middle,0.36,50,18,36.0
909090,heuristic,Late,0.15217391304347827,46,7,15.217391304347828
567821,heuristic,Early,0.68,50,34,68.0
567821,heuristic,Middle,0.3,50,15,30.0
567821,heuristic,Late,0.21875,32,7,21.875
847329,heuristic,Early,0.66,50,33,66.0
847329,heuristic,Middle,0.28,50,14,28.000000000000004
847329,heuristic,Late,0.2,50,10,20.0
first-principles-session-1,first-principles,Early,0.54,50,27,54.0
first-principles-session-1,first-principles,Middle,0.4,50,20,40.0
first-principles-session-1,first-principles,Late,0.16,50,8,16.0
first_principles_2024,first-principles,Early,0.52,50,26,52.0
first_principles_2024,first-principles,Middle,0.36,50,18,36.0
first_principles_2024,first-principles,Late,0.1,50,5,10.0
first_principles_session_001,first-principles,Early,0.6,50,30,60.0
first_principles_session_001,first-principles,Middle,0.24,50,12,24.0
first_principles_session_001,first-principles,Late,0.16,50,8,16.0
first-principles-alchemy-001,first-principles,Early,0.5,50,25,50.0
first-principles-alchemy-001,first-principles,Middle,0.38,50,19,38.0
first-principles-alchemy-001,first-principles,Late,0.22,50,11,22.0
123999,first-principles,Early,0.54,50,27,54.0
123999,first-principles,Middle,0.4,50,20,40.0
123999,first-principles,Late,0.3,50,15,30.0
