session_id,reasoning_type,total_plateaus,recoveries,recovery_rate,avg_plateau_length,recovery_success_rate
first-principles-session-1,first-principles,8,8,1.0,8.125,0.55625
first_principles_2024,first-principles,7,6,0.8571428571428571,9.0,0.39999999999999997
first_principles_session_001,first-principles,6,5,0.8333333333333334,10.5,0.4000000000000001
first-principles-alchemy-001,first-principles,6,6,1.0,6.833333333333333,0.39999999999999997
123999,first-principles,6,6,1.0,7.833333333333333,0.5333333333333333
789012,systematic,7,6,0.8571428571428571,7.428571428571429,0.46666666666666673
456789,systematic,4,4,1.0,8.0,0.45000000000000007
847392,systematic,8,7,0.875,7.75,0.5142857142857143
629481,systematic,6,5,0.8333333333333334,7.0,0.64
123458,systematic,7,6,0.8571428571428571,13.857142857142858,0.26666666666666666
123468,counterfactual,6,5,0.8333333333333334,12.666666666666666,0.52
123467,counterfactual,8,7,0.875,7.875,0.48571428571428577
789312,counterfactual,7,6,0.8571428571428571,17.571428571428573,0.3333333333333333
847293,counterfactual,5,5,1.0,14.2,0.32999999999999996
123686,counterfactual,7,7,1.0,10.428571428571429,0.5428571428571429
123450,heuristic,9,9,1.0,8.0,0.5333333333333333
562841,heuristic,7,7,1.0,8.571428571428571,0.42857142857142855
909090,heuristic,9,9,1.0,7.222222222222222,0.37777777777777777
567821,heuristic,3,2,0.6666666666666666,10.0,0.5
847329,heuristic,8,8,1.0,7.625,0.45
123556,abductive,4,3,0.75,7.0,0.4666666666666666
123656,abductive,8,8,1.0,8.0,0.4
123676,abductive,5,5,1.0,8.0,0.5199999999999999
123687,abductive,6,5,0.8333333333333334,15.0,0.4000000000000001
123000,abductive,5,4,0.8,7.4,0.6499999999999999
